id_registro,equipamento,situacao,temperatura_c,vibracao_mm_s,producao_pecas_h
2993,Robô 01 ,Desligado,56.85,4.32,0
2994,Robô 02 ,Parado,72.0,5.11,0
2995,Bomba 02,Manutenção,66.63,3.34,19
2996,  Robô 01,Ligado,67.81,3.37,385
2997,  Motor 02  ,Manut.,70.29,2.63,18
2998,  Esteira 02  ,Manutenção,69.09,4.41,9
2999,  Bomba 01,Operando,63.97,2.52,407
3000, Esteira 02,Desligado,68.09,3.12,0
3001,Motor 03 ,Ligado,55.83,3.1,364
3002,  Bomba 01,parado,63.62,2.74,0
3003,  Compressor 01,Desligado,56.77,2.08,0
3004,Esteira 01,Fora de operação,67.13,3.11,0
3005,Motor 01  ,Operando,77.57,1.21,418
3006,Motor 01 ,PARADO,60.33,3.98,0
3007,Motor 03,Operando,60.19,4.16,288
3008,Bomba 01,Em operação,65.71,3.21,377
3009,Motor 01,Em operação,71.86,3.96,418
3010,Esteira 01,Manut.,55.72,1.23,25
3011,  Motor 01,OPERANDO,69.96,3.14,240
3012,Compressor 01  ,manutencao,61.8,2.82,22
3013,  Robô 02,operando,66.53,2.53,196
3014,  Bomba 02  ,parado,75.07,3.32,0
3015,  Compressor 01,OPERANDO,76.05,2.88,191
3016,Motor 02 ,manutencao,65.42,4.22,25
3017,Esteira 02,Manutenção,65.05,5.11,7
3018,Compressor 01,Manutenção,75.67,3.45,27
3019,Bomba 02  ,manutencao,61.93,3.15,27
3020,Motor 01 ,Parado,72.69,3.6,0
3021,Compressor 01  ,OPERANDO,56.45,4.64,365
3022,Robô 01  ,OPERANDO,62.7,4.39,284
3023,Motor 03  ,parado,53.08,5.16,0
3024, Esteira 02,Em manutenção,60.14,1.24,21
3025,  Robô 01,Parado,69.89,3.0,0
3026, Esteira 02,Parado,75.97,2.44,0
3027,Compressor 01  ,Em manutenção,60.77,1.2,10
3028,  Robô 01  ,OPERANDO,59.9,2.37,392
3029,Motor 03  ,OPERANDO,79.28,2.85,391
3030,Bomba 02,Em manutenção,64.02,3.34,16
3031,Robô 01,Desligado,67.5,3.15,0
3032,  Robô 01  ,OPERANDO,66.31,1.59,381
3033,  Bomba 01,operando,60.92,4.79,275
3034,  Robô 01,Desligado,63.14,2.27,0
3035,Robô 02 ,manutencao,57.22,4.01,3
3036,  Esteira 01  ,Manutenção,54.29,3.64,28
3037,  Esteira 01  ,Operando,81.47,1.46,384
3038,  Motor 02,OPERANDO,76.31,2.32,258
3039,  Esteira 01,Em operação,70.98,1.99,204
3040,Esteira 01,Operando,70.49,3.2,227
3041,Motor 02,Em operação,63.63,3.25,271
3042,Bomba 02,manutencao,61.75,2.57,11
3043,Esteira 01 ,parado,55.49,1.57,0
3044,Robô 02  ,Operando,58.72,0.62,307
3045,Bomba 01 ,Operando,66.71,4.23,384
3046,Bomba 02  ,MANUTENÇÃO,75.73,3.98,19
3047,  Bomba 01  ,PARADO,73.84,3.07,0
3048,Compressor 01,PARADO,66.96,3.54,0
3049,  Esteira 01  ,Em manutenção,63.61,0.89,14
3050,  Bomba 02  ,Parado,68.09,5.97,0
3051,Motor 01 ,Em operação,56.67,2.59,295
3052,Esteira 01  ,parado,75.79,3.95,0
3053,  Robô 02  ,MANUTENÇÃO,75.19,3.31,2
3054, Robô 01,PARADO,65.6,4.37,0
3055,  Robô 01  ,manutencao,75.86,3.5,22
3056,  Robô 01,OPERANDO,71.77,2.62,221
3057,Motor 01 ,Fora de operação,65.35,3.52,0
3058,Motor 03,Ligado,61.74,3.18,279
3059,  Motor 03,Operando,65.39,3.77,401
3060,  Robô 02,Ligado,64.13,1.33,413
3061,Motor 02,OPERANDO,74.37,4.36,334
3062,Robô 02,PARADO,54.55,3.14,0
3063,Bomba 02,manutencao,56.36,2.86,20
3064,Robô 01,parado,61.42,3.23,0
3065,  Robô 01  ,parado,69.73,3.27,0
3066,  Bomba 01,parado,61.78,3.07,0
3067,Motor 03,Operando,71.78,4.21,350
3068,  Esteira 01,Manutenção,73.77,3.08,8
3069,Compressor 01,MANUTENÇÃO,61.86,2.0,3
3070,Robô 01,Ligado,68.74,3.91,371
3071,Bomba 02,Parado,78.47,3.75,0
3072,Motor 02  ,Manutenção,66.14,4.32,9
3073,Motor 03 ,Manut.,67.32,4.24,6
3074,  Esteira 01  ,PARADO,62.19,3.19,0
3075,  Motor 03,Desligado,61.15,2.17,0
3076, Motor 02,Manutenção,72.84,3.95,27
3077,  Motor 02,Desligado,69.71,3.08,0
3078, Motor 03,Manutenção,67.29,1.19,11
3079,Esteira 01 ,parado,73.93,3.49,0
3080,  Bomba 01,Operando,70.98,4.61,275
3081,  Bomba 02,Fora de operação,69.58,2.49,0
3082,  Motor 03,Fora de operação,74.94,2.73,0
3083,  Bomba 02  ,Em manutenção,67.14,2.52,19
3084,Robô 01 ,PARADO,68.08,2.05,0
3085,  Motor 01,operando,56.88,2.51,378
3086,  Motor 03  ,Operando,62.23,3.83,298
3087,Bomba 01 ,Em manutenção,60.92,2.9,9
3088,Compressor 01  ,PARADO,56.31,4.43,0
3089,  Robô 02  ,Desligado,75.46,2.47,0
3090, Robô 02,PARADO,61.42,4.41,0
3091,Bomba 01  ,Desligado,65.12,2.86,0
3092,Esteira 02 ,Em manutenção,64.96,4.26,10
3093, Bomba 01,Fora de operação,73.76,5.6,0
3094,Esteira 01 ,Desligado,64.47,2.38,0
3095,  Robô 02,Manutenção,60.53,1.66,28
3096,  Motor 03  ,Em operação,70.92,4.52,362
3097,Robô 01  ,Parado,69.2,4.17,0
3098, Robô 01,operando,64.73,1.08,343
3099, Esteira 01,Fora de operação,70.27,1.28,0
3100,  Motor 03  ,MANUTENÇÃO,61.75,3.11,15
3101,Esteira 02  ,PARADO,63.17,2.97,0
3102,Robô 02,Em operação,71.83,3.78,320
3103,Bomba 02,operando,73.11,5.26,417
3104,  Compressor 01,Manut.,76.25,3.02,8
3105,Robô 01  ,parado,67.71,3.41,0
3106,  Bomba 02  ,PARADO,60.42,2.46,0
3107,Bomba 02 ,operando,69.29,3.49,374
3108,Motor 01,Em manutenção,70.02,3.3,17
3109, Esteira 02,MANUTENÇÃO,76.51,4.03,13
3110,Esteira 01,Manut.,65.69,2.8,3
3111,Bomba 01  ,manutencao,65.74,4.14,7
3112,Esteira 01  ,Fora de operação,62.02,2.76,0
3113,Robô 01 ,Em manutenção,67.13,3.31,18
3114, Bomba 01,OPERANDO,71.48,1.35,232
3115,Robô 01  ,Operando,69.94,2.98,369
3116,Robô 02 ,MANUTENÇÃO,63.87,3.14,27
3117, Bomba 02,Ligado,62.92,3.25,224
3118,Esteira 01 ,operando,77.44,3.13,291
3119,Robô 02  ,Em manutenção,63.33,3.55,3
3120,  Motor 02,manutencao,63.25,3.3,28
3121,Bomba 02  ,MANUTENÇÃO,60.62,3.95,8
3122,  Esteira 01  ,PARADO,53.84,3.89,0
3123,Bomba 01 ,Operando,57.32,3.11,394
3124,Compressor 01  ,Ligado,59.38,4.22,333
3125, Bomba 02,MANUTENÇÃO,62.96,3.5,11
3126,Bomba 02 ,Ligado,63.73,1.01,277
3127,  Robô 02,Operando,63.5,1.91,345
3128,  Motor 02,manutencao,69.15,2.16,11
3129,  Bomba 01,Operando,55.78,3.19,412
3130,Bomba 02,parado,66.84,3.82,0
3131,Bomba 01 ,PARADO,69.69,3.69,0
3132,  Robô 02  ,Desligado,56.63,2.04,0
3133,  Motor 01,Parado,71.82,3.31,0
3134,Motor 03,Fora de operação,66.24,2.8,0
3135,Motor 02  ,Manut.,66.87,3.67,4
3136,Bomba 02 ,Em manutenção,71.36,2.74,9
3137,Motor 03  ,operando,67.35,3.54,193
3138,  Robô 02  ,MANUTENÇÃO,70.71,0.68,30
3139,Motor 03 ,Desligado,59.78,3.29,0
3140, Motor 03,Operando,68.64,2.48,362
3141,Motor 02,MANUTENÇÃO,77.37,4.2,5
3142,Robô 01,MANUTENÇÃO,55.49,3.49,23
3143, Motor 03,Desligado,71.79,2.79,0
3144,Motor 01 ,Em manutenção,69.63,3.8,26
3145,Motor 01  ,Desligado,72.53,2.49,0
3146,Motor 03,PARADO,69.08,3.54,0
3147,Robô 02 ,Fora de operação,68.61,2.01,0
3148, Compressor 01,manutencao,71.08,3.58,20
3149,Robô 02,operando,70.76,3.04,253
3150,Compressor 01  ,MANUTENÇÃO,55.3,3.21,17
3151,  Robô 01  ,parado,73.01,2.38,0
3152,Robô 01 ,MANUTENÇÃO,58.22,2.12,23
3153,Bomba 02 ,Desligado,70.9,2.87,0
3154, Compressor 01,MANUTENÇÃO,69.66,3.19,11
3155,Esteira 02,Fora de operação,72.67,2.54,0
3156,Esteira 02 ,Operando,65.16,3.71,184
3157,  Esteira 01,MANUTENÇÃO,64.45,2.67,27
3158,  Robô 02  ,OPERANDO,63.48,2.42,242
3159,Motor 03,Manut.,68.08,4.16,15
3160,  Bomba 02,manutencao,52.86,3.55,14
3161,  Motor 03,Operando,67.11,3.66,343
3162,Motor 02 ,Parado,74.4,3.47,0
3163,  Bomba 02  ,Em manutenção,58.36,3.65,11
3164,Robô 01  ,PARADO,86.12,3.81,0
3165,Compressor 01,Parado,64.04,3.85,0
3166, Robô 01,Operando,70.93,3.07,362
3167,Robô 01 ,Operando,71.86,3.21,313
3168,Bomba 01,PARADO,56.71,4.12,0
3169,Compressor 01 ,Fora de operação,63.9,3.95,0
3170,Robô 01  ,operando,75.78,1.97,290
3171,Robô 01,Manutenção,69.07,1.51,18
3172,Robô 01,OPERANDO,73.22,2.7,349
3173,  Compressor 01  ,manutencao,64.42,2.68,24
3174,Esteira 01,Fora de operação,61.77,3.77,0
3175,Motor 01,Em operação,70.73,3.14,287
3176, Robô 02,parado,71.44,1.13,0
3177,Bomba 02  ,Fora de operação,66.5,5.32,0
3178,Motor 01,OPERANDO,70.47,2.49,303
3179, Motor 02,PARADO,70.63,2.79,0
3180,Compressor 01,operando,60.8,1.5,267
3181,  Robô 02  ,Parado,77.32,1.09,0
3182,Esteira 02  ,Desligado,52.61,2.46,0
3183,  Bomba 01  ,Manutenção,65.12,3.62,21
3184,Robô 02  ,Manutenção,65.3,4.42,28
3185, Esteira 01,Em manutenção,74.97,3.26,10
3186,Robô 01 ,PARADO,88.25,2.58,0
3187,Motor 01  ,Em operação,68.72,2.37,390
3188,Motor 03  ,Ligado,69.75,2.52,243
3189, Compressor 01,Manut.,74.12,3.83,11
3190,  Bomba 02  ,parado,61.51,3.54,0
3191, Motor 02,OPERANDO,54.8,1.4,349
3192,Motor 02 ,Manut.,72.75,2.41,26
3193, Bomba 02,parado,65.28,3.14,0
3194,Bomba 01,Em operação,68.29,5.15,305
3195,Bomba 02  ,Ligado,55.72,4.19,253
3196,Esteira 01  ,MANUTENÇÃO,69.1,3.61,10
3197,  Robô 02,Em manutenção,69.51,3.31,25
3198, Motor 01,Desligado,53.57,4.02,0
3199,Motor 03,Operando,65.22,3.15,254
3200,  Bomba 01  ,Manutenção,76.45,2.34,21
3201,Robô 02,Operando,70.06,3.84,205
3202,Motor 01  ,operando,76.64,3.0,390
3203, Esteira 01,Manut.,49.81,5.11,3
3204,Esteira 02  ,Em operação,60.6,2.29,392
3205,Robô 02 ,OPERANDO,75.77,3.64,246
3206,  Motor 03  ,MANUTENÇÃO,66.03,2.67,19
3207,  Esteira 01  ,Em operação,80.41,3.49,350
3208,  Motor 03  ,PARADO,69.44,2.22,0
3209,Robô 01 ,Em operação,59.68,1.59,287
3210,Esteira 01 ,Manutenção,64.6,3.76,4
3211,Motor 03,operando,80.32,3.84,217
3212,  Motor 02,OPERANDO,68.62,3.42,377
3213,  Bomba 01  ,Parado,57.21,2.34,0
3214,  Bomba 02,operando,76.41,2.47,351
3215,  Robô 01  ,Fora de operação,63.43,4.59,0
3216,  Compressor 01  ,Operando,62.42,3.85,268
3217,Motor 02,Operando,73.84,1.58,279
3218,  Motor 03,PARADO,63.16,2.26,0
3219,  Bomba 01,OPERANDO,71.65,1.59,361
3220,  Bomba 02  ,Parado,78.28,2.67,0
3221,Motor 03,Em manutenção,70.6,0.67,13
3222,  Motor 02,Manut.,70.95,3.06,28
3223, Motor 03,Desligado,53.05,1.58,0
3224,  Esteira 01  ,OPERANDO,56.55,3.95,341
3225,  Bomba 01  ,Parado,69.1,2.18,0
3226,Motor 01,PARADO,69.5,0.49,0
3227, Esteira 01,OPERANDO,61.91,4.37,368
3228,Robô 01 ,Desligado,60.36,3.88,0
3229,Robô 02  ,Manut.,61.3,2.41,30
3230,  Motor 01,manutencao,62.13,2.65,24
3231,Compressor 01,Em operação,63.45,3.99,340
3232,  Motor 02,Em manutenção,78.62,1.51,29
3233,Robô 02  ,Ligado,78.76,2.22,237
3234,Compressor 01 ,Em operação,77.63,1.87,389
3235,  Esteira 01  ,Manut.,60.84,2.62,0
3236, Robô 01,Operando,69.29,4.93,241
3237,Bomba 02,parado,69.66,3.22,0
3238,Esteira 02  ,Em manutenção,80.4,1.7,0
3239,  Robô 01  ,MANUTENÇÃO,68.3,1.35,24
3240,  Robô 02  ,Operando,57.78,3.13,316
3241,Robô 01 ,MANUTENÇÃO,70.82,3.59,12
3242,  Robô 01  ,Parado,71.51,4.41,0
3243,  Motor 01  ,parado,75.86,3.79,0
3244,Compressor 01,operando,74.98,4.31,246
3245,  Motor 03  ,Em operação,63.58,2.19,411
3246, Bomba 02,manutencao,68.63,3.49,29
3247,Esteira 02 ,Desligado,63.41,1.77,0
3248, Motor 02,Em manutenção,78.9,4.73,30
3249,Esteira 01,MANUTENÇÃO,68.5,1.43,8
3250,Motor 03,MANUTENÇÃO,63.6,3.25,24
3251,  Robô 01,Desligado,74.48,4.13,0
3252,Esteira 02,Parado,68.59,2.19,0
3253, Bomba 02,Desligado,77.59,2.55,0
3254,Robô 02,operando,70.35,3.88,313
3255, Robô 01,PARADO,78.76,3.01,0
3256,Bomba 01,Parado,74.52,1.69,0
3257,Bomba 02,MANUTENÇÃO,54.24,2.96,6
3258, Motor 03,Fora de operação,59.17,1.79,0
3259,  Motor 02  ,Ligado,75.26,1.09,379
3260,Compressor 01  ,MANUTENÇÃO,61.04,3.33,11
3261,Esteira 01,Operando,66.42,3.13,270
3262,  Motor 01  ,Manut.,62.57,3.75,23
3263,Motor 01 ,Em manutenção,63.34,3.22,3
3264,Robô 02  ,Desligado,67.95,1.77,0
3265,  Compressor 01,Desligado,78.26,3.06,0
3266,Bomba 01,Fora de operação,71.59,1.47,0
3267, Bomba 01,Em operação,59.83,2.86,189
3268,Motor 02,Em operação,54.19,0.2,358
3269,  Esteira 02,OPERANDO,64.39,5.01,199
3270,Robô 01 ,operando,55.53,3.12,284
3271,Motor 01,Em operação,61.82,4.49,402
3272,Motor 03  ,Fora de operação,64.39,2.83,0
3273,Motor 02,Em operação,67.69,2.23,211
3274,Motor 03  ,Ligado,64.53,2.9,192
3275,Esteira 02 ,Em manutenção,67.78,1.43,29
3276,  Motor 02  ,Desligado,79.99,2.3,0
3277,Robô 01 ,Manut.,61.43,2.83,28
3278,Bomba 02,Em operação,73.38,2.59,348
3279,Bomba 01 ,manutencao,69.5,3.22,30
3280,Robô 02,operando,68.6,2.91,387
3281,  Bomba 01,Desligado,70.22,3.47,0
3282, Robô 01,operando,64.74,3.65,415
3283,  Robô 02  ,Em manutenção,77.17,4.21,15
3284,  Esteira 01  ,manutencao,75.01,4.27,26
3285, Robô 01,parado,75.51,3.14,0
3286,Esteira 02  ,MANUTENÇÃO,65.3,1.19,15
3287, Robô 01,Operando,58.28,3.69,279
3288,Esteira 01  ,Em operação,63.02,3.94,331
3289,Bomba 02  ,Em operação,65.82,4.47,407
3290,  Motor 02  ,parado,66.7,4.46,0
3291,Motor 01,parado,57.23,2.21,0
3292,Motor 03  ,OPERANDO,70.63,1.89,351
3293, Esteira 01,manutencao,91.04,3.99,23
3294,  Motor 01  ,operando,65.49,2.61,235
3295,Esteira 02,Fora de operação,71.81,3.11,0
3296,  Motor 02  ,Operando,61.53,3.57,294
3297, Motor 03,manutencao,64.85,2.69,11
3298,  Bomba 01,parado,61.31,1.83,0
3299,  Compressor 01  ,Ligado,69.46,2.66,279
3300, Bomba 01,Em manutenção,58.45,1.01,7
3301,  Compressor 01,Em operação,62.07,3.39,290
3302, Compressor 01,Operando,69.6,1.24,371
3303,Compressor 01  ,Em operação,67.97,3.56,253
3304,Motor 03 ,Em operação,72.3,4.64,301
3305,Robô 01,Fora de operação,61.29,3.34,0
3306,  Esteira 01,Ligado,64.88,2.36,302
3307,Bomba 02 ,OPERANDO,59.54,3.23,214
3308, Motor 01,Manutenção,62.1,3.16,30
3309,Robô 01  ,Manutenção,70.09,2.91,23
3310,Bomba 01  ,Em operação,64.94,2.36,348
3311,Robô 01 ,manutencao,64.92,3.31,30
3312, Motor 02,Manut.,64.39,4.88,24
3313,Robô 01  ,Fora de operação,69.61,1.93,0
3314,  Motor 03  ,PARADO,67.57,3.09,0
3315,Motor 01 ,MANUTENÇÃO,63.71,1.92,18
3316,Bomba 01,PARADO,68.17,3.55,0
3317,  Esteira 02  ,MANUTENÇÃO,57.38,3.8,8
3318, Robô 02,Manutenção,56.03,4.21,19
3319,Robô 02  ,Parado,73.51,3.74,0
3320, Esteira 01,Parado,73.08,3.36,0
3321, Compressor 01,Desligado,64.48,3.72,0
3322,Robô 01,manutencao,75.02,3.7,4
3323,  Esteira 01,Em manutenção,74.56,3.41,17
3324,Motor 02,Manutenção,75.81,3.02,22
3325, Motor 03,manutencao,68.49,4.04,1
3326,Esteira 02,Manut.,63.98,2.84,8
3327,  Robô 02,Manut.,68.62,3.98,7
3328,Robô 02,operando,71.23,1.44,317
3329,Esteira 01,PARADO,63.73,1.94,0
3330,  Motor 01,Em manutenção,79.46,3.01,28
3331,Bomba 01,operando,61.95,3.08,327
3332,Esteira 02,parado,61.59,0.9,0
3333,Compressor 01  ,manutencao,72.88,4.51,20
3334,Robô 02,Manutenção,66.32,3.71,5
3335,  Esteira 01  ,Operando,66.49,2.44,233
3336, Esteira 01,Em operação,57.0,3.46,237
3337, Robô 02,Operando,78.4,4.59,232
3338,  Bomba 01  ,MANUTENÇÃO,71.31,2.52,21
3339, Bomba 02,manutencao,80.89,3.93,15
3340,Bomba 02,OPERANDO,60.91,3.98,355
3341,Bomba 02,operando,67.44,2.41,219
3342,Bomba 02,parado,68.66,4.91,0
3343,  Esteira 02  ,Desligado,63.72,1.08,0
3344,Robô 01  ,Manut.,76.03,2.79,10
3345, Compressor 01,Em manutenção,75.64,3.08,18
3346,  Esteira 01,parado,73.26,4.78,0
3347,Compressor 01 ,Parado,66.69,3.79,0
3348, Motor 01,parado,63.6,4.75,0
3349,Compressor 01,Em manutenção,56.11,2.23,4
3350, Motor 01,manutencao,61.74,0.77,3
3351,  Robô 01,parado,74.77,2.39,0
3352,Motor 03,Desligado,73.1,4.95,0
3353, Motor 03,Manut.,80.14,3.72,17
3354, Motor 02,Desligado,60.97,2.81,0
3355,Robô 01,Em operação,66.38,4.36,391
3356,Motor 03,parado,53.67,3.21,0
3357, Motor 03,manutencao,61.46,2.19,19
3358,Compressor 01,parado,65.4,1.86,0
3359,  Bomba 01,OPERANDO,57.81,0.25,266
3360,Motor 01,MANUTENÇÃO,68.64,3.12,21
3361,  Motor 01  ,Operando,70.64,3.4,370
3362,Robô 02,operando,63.95,2.04,386
3363,  Motor 02,MANUTENÇÃO,74.96,2.21,1
3364,Robô 02,manutencao,70.85,3.85,12
3365,Motor 02  ,Manutenção,65.56,3.91,5
3366,Motor 02  ,Em manutenção,73.22,4.29,17
3367,Compressor 01 ,PARADO,55.15,2.86,0
3368, Motor 03,Em manutenção,67.69,1.92,25
3369,Motor 01 ,parado,58.83,3.33,0
3370,Compressor 01,Operando,66.57,3.06,246
3371,  Esteira 01,Parado,65.03,2.77,0
3372,Robô 01 ,Desligado,71.01,3.89,0
3373, Motor 02,parado,70.28,3.74,0
3374,Esteira 01 ,Parado,63.46,2.29,0
3375,Motor 03  ,parado,65.87,1.84,0
3376,  Motor 01  ,PARADO,71.52,3.32,0
3377,Bomba 02  ,Em manutenção,61.15,2.37,11
3378,Motor 01  ,MANUTENÇÃO,56.16,1.32,29
3379, Robô 01,OPERANDO,72.08,3.41,192
3380,  Motor 02,Em operação,68.83,2.66,322
3381,  Robô 01  ,Operando,66.17,4.72,399
3382,Motor 03  ,PARADO,50.82,3.12,0
3383, Robô 01,parado,66.1,2.47,0
3384,  Motor 02,Em operação,67.51,4.59,216
3385,Bomba 02  ,Manutenção,65.8,3.69,18
3386,  Esteira 02,Em operação,69.84,3.73,287
3387,Motor 03 ,manutencao,65.67,1.89,6
3388,Motor 02 ,MANUTENÇÃO,66.91,4.21,1
3389,Bomba 02 ,Manutenção,61.95,3.7,24
3390,Bomba 01 ,Em manutenção,70.15,2.64,25
3391,  Esteira 01  ,Manutenção,61.04,4.02,5
3392, Esteira 02,Em manutenção,68.29,2.99,2
3393,  Compressor 01,Em operação,62.19,3.53,254
3394,Robô 01  ,Em manutenção,51.69,2.68,0
3395,  Esteira 01  ,operando,60.96,4.04,308
3396, Robô 01,Em manutenção,73.24,3.0,4
3397,Compressor 01  ,Em manutenção,63.59,1.69,10
3398,Motor 01 ,Manutenção,52.82,0.68,9
3399, Esteira 01,Manut.,70.91,5.69,26
3400, Bomba 01,Em manutenção,57.82,2.88,28
3401,  Motor 02,manutencao,67.68,3.64,3
3402,Motor 02,manutencao,60.07,2.38,23
3403,Motor 02  ,Operando,63.35,2.69,331
3404,  Motor 02  ,Manutenção,68.57,3.76,12
3405, Bomba 01,Operando,77.16,1.78,365
3406,Motor 02,Manut.,67.0,1.41,15
3407,  Bomba 01,operando,58.99,3.38,284
3408,  Robô 01  ,Em manutenção,66.1,3.08,29
3409, Motor 03,Em manutenção,79.59,3.4,18
3410,Motor 02 ,MANUTENÇÃO,59.39,3.74,26
3411,Robô 02  ,Manut.,77.65,3.23,10
3412,  Compressor 01  ,manutencao,55.69,3.13,26
3413,Robô 02,manutencao,80.07,1.88,28
3414,  Robô 02  ,Ligado,59.53,3.96,268
3415,Motor 03,operando,65.99,3.46,211
3416,  Robô 01  ,MANUTENÇÃO,64.01,2.88,9
3417, Esteira 01,parado,60.7,2.93,0
3418,Motor 01  ,OPERANDO,67.29,2.08,223
3419, Motor 03,Fora de operação,63.83,2.76,0
3420,  Esteira 01,Em operação,63.28,4.0,203
3421,Esteira 02,manutencao,66.72,1.48,4
3422,Robô 01  ,parado,68.93,2.99,0
3423,  Bomba 01  ,Operando,68.11,2.21,306
3424,  Bomba 02,parado,78.29,2.75,0
3425,  Robô 01  ,operando,69.73,3.45,379
3426,Motor 01,Ligado,68.67,2.86,406
3427,Esteira 01 ,parado,59.33,3.92,0
3428,  Motor 01,OPERANDO,65.92,2.74,420
3429,Esteira 01,OPERANDO,67.59,2.34,267
3430,Bomba 01,Em manutenção,59.0,3.64,13
3431,Robô 02,PARADO,61.35,2.28,0
3432,  Robô 01  ,Manut.,70.01,3.64,16
3433,Esteira 02 ,manutencao,70.38,2.99,9
3434,Robô 01,MANUTENÇÃO,59.49,2.91,6
3435,Bomba 01 ,Ligado,56.73,3.31,320
3436, Robô 01,parado,71.9,3.31,0
3437,Bomba 01  ,manutencao,69.31,3.43,11
3438,  Compressor 01  ,manutencao,79.93,3.31,16
3439,Bomba 01  ,Fora de operação,63.67,1.36,0
3440,Esteira 02  ,OPERANDO,77.17,2.47,295
3441,Esteira 02  ,MANUTENÇÃO,72.95,4.55,22
3442,Robô 02  ,Manutenção,58.39,3.77,25
3443,  Bomba 02  ,Em operação,71.85,1.85,374
3444,  Robô 02  ,manutencao,61.68,1.59,27
3445,Compressor 01,Manut.,63.12,3.02,25
3446,Bomba 01  ,parado,61.07,2.12,0
3447,Motor 03 ,Fora de operação,68.16,3.22,0
3448,Robô 01 ,Fora de operação,53.05,1.26,0
3449, Esteira 01,Manut.,68.64,3.7,24
3450,Esteira 01 ,MANUTENÇÃO,78.65,5.15,12
3451,Robô 02  ,Operando,57.91,3.95,322
3452, Compressor 01,parado,62.08,2.25,0
3453,Bomba 02,Manutenção,56.12,3.69,9
3454,  Robô 01  ,Ligado,62.1,3.01,351
3455,Robô 02 ,Manutenção,67.65,5.55,4
3456,Robô 01,Em manutenção,69.4,2.36,0
3457,  Bomba 01,Manut.,56.78,0.68,28
3458,Robô 02  ,parado,62.2,4.16,0
3459,  Motor 03,Fora de operação,67.72,1.85,0
3460,  Motor 03,Manutenção,65.77,4.84,12
3461,  Robô 02,Parado,64.73,3.31,0
3462,Esteira 01,Desligado,59.67,3.22,0
3463, Motor 03,MANUTENÇÃO,58.03,2.87,29
3464,Motor 02 ,Em manutenção,68.97,3.84,17
3465, Motor 03,Fora de operação,68.73,2.27,0
3466,Robô 01 ,Manutenção,78.07,1.94,26
3467,  Motor 03,MANUTENÇÃO,67.13,3.21,27
3468,  Robô 01,Fora de operação,55.74,4.42,0
3469,Motor 02,operando,72.97,1.63,308
3470,Esteira 01,operando,60.69,1.5,265
3471,Motor 01,operando,65.32,3.34,345
3472,Esteira 02,Em operação,65.13,2.82,368
3473,Bomba 01,PARADO,63.34,3.44,0
3474, Robô 01,Em manutenção,60.42,2.56,13
3475,Motor 03,manutencao,60.25,4.15,8
3476,  Motor 01,PARADO,61.67,3.39,0
3477,Motor 03,manutencao,80.64,2.37,23
3478,  Bomba 02,Manutenção,69.6,3.5,0
3479,Robô 01,manutencao,74.82,1.95,26
3480,  Compressor 01,Manut.,70.96,3.27,22
3481,Robô 02,MANUTENÇÃO,67.26,2.89,29
3482,  Robô 01  ,Desligado,65.51,5.74,0
3483, Esteira 01,PARADO,68.85,5.44,0
3484,Bomba 01 ,manutencao,71.27,2.82,29
3485,Bomba 02,PARADO,64.27,2.99,0
3486, Motor 01,Em manutenção,82.27,3.05,21
3487,Motor 02,Fora de operação,70.54,3.94,0
3488,  Esteira 01,Ligado,75.88,0.62,261
3489,  Motor 03,PARADO,48.63,2.32,0
3490,Bomba 02,Ligado,67.55,3.49,350
3491,Robô 01 ,Em operação,66.8,3.42,223
3492,Robô 02 ,Operando,71.45,3.88,310
3493,Motor 01,parado,63.38,6.31,0
3494,  Esteira 01,Ligado,61.52,1.38,281
3495,Compressor 01  ,operando,80.65,2.15,369
3496,  Compressor 01  ,Desligado,69.16,3.66,0
3497, Motor 01,Manutenção,73.81,3.74,26
3498,Robô 02  ,Em manutenção,71.06,4.38,8
3499,  Robô 01,OPERANDO,61.27,2.7,392
3500,  Compressor 01  ,Manutenção,62.99,2.65,13
3501,Esteira 01  ,Ligado,76.71,1.74,225
3502,  Robô 01  ,Parado,61.66,3.59,0
3503,  Robô 02,manutencao,79.16,3.35,18
3504,  Robô 01  ,Manutenção,57.47,3.75,3
3505,  Compressor 01,manutencao,79.89,3.84,15
3506,  Esteira 01,Desligado,67.74,2.55,0
3507,Motor 01 ,MANUTENÇÃO,75.73,3.12,2
3508, Motor 03,Ligado,62.7,2.45,220
3509,  Motor 02,Manutenção,71.68,2.42,24
3510,Bomba 01  ,PARADO,76.84,2.51,0
3511,Bomba 02  ,OPERANDO,66.07,1.89,377
3512,Motor 03,Fora de operação,72.83,4.09,0
3513,Compressor 01  ,Operando,58.91,2.66,354
3514, Esteira 02,parado,60.76,2.23,0
3515,Robô 01,OPERANDO,77.95,4.7,397
3516,Bomba 01,Fora de operação,65.19,2.43,0
3517,  Robô 01,manutencao,58.25,2.21,16
3518,  Esteira 02  ,OPERANDO,64.16,4.4,396
3519,Robô 02  ,Desligado,60.06,2.05,0
3520,Esteira 02 ,PARADO,61.15,2.25,0
3521,  Motor 01  ,Manutenção,60.86,3.44,5
3522,Esteira 01  ,parado,59.45,3.47,0
3523,  Robô 01  ,OPERANDO,76.55,3.33,250
3524,Bomba 02,Fora de operação,76.07,3.65,0
